No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
4355,Lenovo Ideapad Miix 520 Corei7 Gen 8 Ram 16GB SSD Touch Tablet FHD IPS,3400000,5.0,12 terjual,ButterflyLaptopJogja,Kab. Sleman
4356,Lenovo Thinkpad X390 Core i5 Gen8 Ram 16GB Ssd 256GB,3400000,5.0,3 terjual,LAPTOPIN-ID,Bandung
4357,LENOVO THINKPAD X1 CARBON 6TH LAPTOP CORE i7 | i5 GEN 8 MULUS & MANTAP,3399999,4.9,100+ terjual,Trinity Comp,Jakarta Barat
4358,LENOVO V14 ADA [AMD ATHLON 3020E] 8GB RAM | 256GB SSD | 14 INCH,3399000,5.0,40+ terjual,SPACECOMP ID,Jakarta Barat
4359,LENOVO IDEAPAD SLIM 3 [AMD 3020E] 8GB RAM | 256GB SSD | 14 INCH,3399000,5.0,30+ terjual,SPACECOMP ID,Jakarta Barat
4360,LAPTOP LENOVO THINKPAD YOGA X380 i7 RAM 16 GB SSD 2 TB TOUCHSCREEN,3390000,5.0,30+ terjual,Raja Murah Pedia,Jakarta Utara
4361,LAPTOP LENOVO THINKPAD YOGA L380 I7 RAM 32 GB SSD 1 TB SLIM MURAH,3390000,4.8,40+ terjual,Raja Murah Pedia,Jakarta Utara
4362,LAPTOP LENOVO THINKPAD T490s I7 RAM 32 GB SSD 2 TB LAYAR TOUCHSCREEN,3390000,5.0,9 terjual,Raja Murah Pedia,Jakarta Utara
4363,LAPTOP LENOVO THINKPAD T490s RAM 16 GB SSD 2 TB LAYAR TOUCHSCREEN GOOD,3390000,5.0,11 terjual,Raja Murah Pedia,Jakarta Utara
4364,Laptop Lenovo Thinkpad T490|T480|Core i7/Core i5 Terjamin Bagus Mulus,3380000,4.9,100+ terjual,Apollo Notbook,Jakarta Pusat
4365,Lenovo Ideapad Slim 1i Intel Celeron N4020 | 8GB 256GB Ssd - Win 11,3370000,5.0,90+ terjual,GEMINI-ELEKTRONIK,Kab. Tangerang
4366,HP Elitebook 840 G5 i5 8th 16GB 512GB IPS FHD 1920X1080 / HP 840 G5 G6,3350000,4.9,100+ terjual,Gugel Laptop,Jakarta Pusat
4367,Laptop Lenovo Thinkpad T590 i5 GEN 8TH RAM 8GB/SSD 1TB LAYAR 15INCH,3350000,4.5,6 terjual,Marvin_electronic,Jakarta Barat
4368,Laptop Lenovo Thinkpad T480s Core i7 8TH 24GB/512GB MURAH BERKUALITAS!,3350000,4.9,100+ terjual,RedStar Electronic,Jakarta Barat
4369,MICROSOFT SURFACE GO 2 INTEL 4425Y 128GB SSD 8GB RAM FHD TOUCH CAM,3350000,5.0,5 terjual,DissantsStore,Jakarta Selatan
4370,SPESIAL PROMO !! Laptop HP EliteBook 840 G6 i5 8TH 8GB/512GB Ssd,3350000,4.6,21 terjual,US_ELECTRONIC,Jakarta Barat
4371,Laptop HP EliteBook 830 G6 TOUCHSCREEN Core i5 GEN 8/16GB/512GB/Mulus,3350000,4.8,13 terjual,Computer Murah 2021,Jakarta Pusat
4372,Acer TravelMate P214-52 i5 Gen 10 RAM 8gb SSD 256gb,3350000,5.0,5 terjual,SH batamshop (skkomp),Jakarta Pusat
4373,Laptop HP Pavilion X360 14-ba003nx Convertible flip touch Cor i3-7100U,3350000,Tidak Ada Rating,Tidak Ada Data,kajoedstore17,Jakarta Barat
4374,"LAPTOP LENOVO THINKPAD X280/ CORE I7 GEN 8TH/ 16GB/ 512GB/ 12.5"" FHD",3350000,5.0,40+ terjual,Computer Murah 2021,Jakarta Pusat
4375,Laptop HP ProBook x360 435 G7 Ryzen 5 RAM 8 GB SSD 256 GB Touchscreen 2 in 1,3350000,4.8,13 terjual,AL_Storetop30,Jakarta Pusat
4376,HP EliteBook 840 G6 Touchscreen Core i5 Gen 8 / Core i7 Gen 8,3350000,4.9,40+ terjual,Tokeh Laptop,Jakarta Pusat
4377,"Laptop Lenovo V330-14|KB, Core i5-8250U, Gen 8 th, 4/1Tb, Lengkap",3350000,5.0,8 terjual,dr.com komputer,Jakarta Barat
4378,"LAPTOP LENOVO THINKPAD L380 YOGA Stylus Pen Intel Core i5 Gen 8th  8GB 256GB 13""",3349000,5.0,5 terjual,YOUNGS COMPUTER,Kab. Sleman
4379,"LAPTOP LENOVO THINKPAD T480s Touch Screen Intel Core i5 Gen 8th 8GB 256GB 14""",3349000,Tidak Ada Rating,Tidak Ada Data,YOUNGS COMPUTER,Kab. Sleman
4380,dell 3400 i5 gen 8 8/256 mx250,3335000,Tidak Ada Rating,Tidak Ada Data,matconotebook_bdg,Bandung
4381,HP ELITEBOOK 840 G6 i5-8265u RAM 16GB/ SSD 256GB/ FHD,3300000,Tidak Ada Rating,2 terjual,Dara speed comp,Bogor
4382,THINKPAD T480 i5-8350u Gen 8 Vpro /32GB RAM/SSD 512GB /FHD/THUNDERBOLT,3300000,Tidak Ada Rating,20 terjual,Ari speed comp,Bogor
4383,Lenovo Thinkpad T480 Touchscreen TS Core i5-8250U 8/256,3300000,5.0,40+ terjual,sentralcomp,Surabaya
4384,Laptop Baru Hp 14 cf  Intel N4120 (4cpus) Quad Core,3300000,Tidak Ada Rating,8 terjual,RumahNotebook,Jakarta Pusat
4385,Dell Latitude 5310 Intel i5 Gen 10,3300000,4.8,7 terjual,Laptop_Store_Taurus,Jakarta Pusat
4386,LAPTOP ASUS A442U INTEL CORE i5 VGA NVIDIA  RAM 8GB HDD 1TB - 4GB,3300000,4.5,14 terjual,JAYA-MANDIRI ELEKTRONIK,Jakarta Barat
4387,"Laptop Acer TravelMate P214-52 Ram 8 GB, SSD 256 GB, Second, Mulus, bergaransi",3300000,5.0,12 terjual,Studio Laptop Official,Jakarta Pusat
4388,Laptop Lenovo Thinkpad Yoga X390 Core i5 16gb/1TB ssd - MURAH,3300000,4.4,29 terjual,Sparta_Electronic,Jakarta Barat
4389,Lenovo thinkpad  x360 yoga 11e core i5 gen8 | RAM8GB | SSD 1TB | touchscreen | 11inc,3300000,5.0,5 terjual,Mr Hanzo,Jakarta Pusat
4390,"Laptop Acer Aspire A315-41, Amd Ryzen 5 - 2500U, Ram 8/1Tb, Lengkap",3300000,5.0,11 terjual,dr.com komputer,Jakarta Barat
4391,Laptop Lenovo T14 Ryzen 5 PRO 4650U Ram 16 GB SSD 512 GB Full HD,3300000,5.0,11 terjual,YOGS COMP,Jakarta Pusat
4392,Lenovo Thinkpad T470s THUNDERBOLT Mulus/ 8gb /SSD 128GB,3300000,5.0,1 terjual,KhanComp,Kab. Sukoharjo
4393,"Laptop Lenovo Thinkpad X390 Core i7 8th Gen RAM 16GB SSD 256GB 14"" IPS",3300000,5.0,10 terjual,MR_elektronik,Jakarta Barat
4394,LENOVO IDEAPAD MIIX 520 I5 8250U 8GB RAM 256GB SSD 2IN1 FHD TOUCH CAM,3300000,5.0,4 terjual,Shoozay,Jakarta Selatan
4395,Laptop MURAH Lenovo V330-14IKB  i7-8550U RAM 8GB SSD 256GB BODY MULUS,3300000,5.0,3 terjual,PASCA COMPUTER,Jakarta Pusat
4396,"HP Elitbook 850 G5, Core i5-8350U, Ram 8GB / 256Gb, Backlight",3300000,5.0,3 terjual,dr.com komputer,Jakarta Barat
4397,Lenovo Thinkpad X390 Intel Core I7 Gen 10th Ram 16GB SSD 1TB,3300000,4.7,3 terjual,DAYA COMP,Jakarta Pusat
4398,MacBook Air Core i5 11 inch Early 2015 Fullset,3300000,4.0,2 terjual,Laros Laptop Sparepart,Malang
4399,"Laptop HP PROBOOK 430 G8 Intel Core i3 gen 11th 8GB 128GB 13.3"" Slim",3299000,5.0,2 terjual,YOUNGS COMPUTER,Kab. Sleman
4400,"ASUS VIVOBOOK [INTEL CORE i3] 8GB RAM 512GB SSD 14"" WIN10 FREE ACC",3299000,4.8,16 terjual,SPACECOMP ID,Jakarta Barat
4401,"Laptop Tablet 2in1 Lenovo Ideapad Duet 3 Caleron N4020 Layar 10"" Ram / Ssd",3299000,Tidak Ada Rating,Tidak Ada Data,Juno computer,Jakarta Pusat
4402,Laptop lenovo T480s core i5 / i7 gen 8 layar Ram 16gb layar 14in slim touchscreen,3299000,5.0,30+ terjual,HOM (Margohouse),Jakarta Pusat
4403,LAPTOP LENOVO THINKPAD T580 RAM 32 GB SSD 2 TB LAYAR TOUCHSCREEN BAGUS,3290000,4.9,25 terjual,Raja Murah Pedia,Jakarta Utara
