No,Nama Produk,Harga,Rating,Terjual,Toko,Lokasi
13,"Lenovo Yoga Pro 7i 09ID i5 13500H EVO/16GB/512GB/14.5"" 2.5K IPS/W11",15499000,Tidak Ada Rating,1 terjual,SOFTCOM,Medan
14,"Asus Vivobook S14 OLED S5406MA EVO - Core Ultra 7 155H 16GB 1TB 14"" 2K",15099000,5.0,80+ terjual,INTEL STORE ID,Jakarta Utara
15,"Lenovo LOQ AAID i5 13450HX/12GB/512GB SSD/RTX4050 6GB/15.6"" 144Hz/W11",14899000,Tidak Ada Rating,2 terjual,SOFTCOM,Medan
16,ASUS Zenbook 14 OLED UM3406HA Ryzen 7 8840HS 16GB 512GB W11 14 WUXGA NPAD,14569000,5.0,100+ terjual,AMD Official Store,Jakarta Utara
17,ASUS Vivobook S 14 OLED M5406UA Ryzen 7 8845HS 16GB 512GB W11+OHS 14.0 OLED,13199000,5.0,100+ terjual,AMD Official Store,Jakarta Utara
18,"Asus V16 V3607VJ I535B8T HM Core 5 210H/16GB/512GB SSD/RTX3050/16"" WUXGA/W11",12999000,Tidak Ada Rating,Tidak Ada Data,SOFTCOM,Medan
19,Asus TUF F15 FX507ZC4 I535B1M OM i5 12500H/8GB-16GB/512GB SSD/RTX3050 4GB/W11+M356,11999000,Tidak Ada Rating,Tidak Ada Data,SOFTCOM,Medan
20,"Asus TUF Gaming A15 FA506NCR R735B1T OM R7 7435HS/8GB-16GB/512GB SSD/RTX3050 4GB/15.6"" 144Hz/W11+OHS+M365",11499000,Tidak Ada Rating,1 terjual,SOFTCOM,Medan
21,"MSI Thin GF63 12UC 2647 i7 12650H/8GB-16GB/512GB SSD/RTX3050 4GB/15.6"" FHD/W11",11199000,Tidak Ada Rating,3 terjual,SOFTCOM,Medan
22,ASUS Vivobook S 14 OLED M5406NA Ryzen 5 7535HS 16GB 512GB W11+OHS 14.0 OLED,10549000,5.0,100+ terjual,AMD Official Store,Jakarta Utara
23,"ASUS Vivobook 14 A1404VA i7-1355U 16GB 512GB/1TB SSD 14""FHD W11 OHS",10449000,5.0,80+ terjual,We Itech,Jakarta Barat
24,"MSI Thin 15 B12UCX 2413 i7 12650H/8GB/512GB SSD/RTX2050 4GB/15.6"" 144Hz/W11",10199000,Tidak Ada Rating,1 terjual,SOFTCOM,Medan
25,"MSI Thin GF63 12UC 2648 i5 12450H/8GB-16GB/512GB SSD/RTX3050 4GB/15.6"" 144Hz/W11",9999000,Tidak Ada Rating,2 terjual,SOFTCOM,Medan
26,Laptop HP Pavilion x360 Intel Core 3 8GB RAM 512GBSSD W11 Home 14 Inch,9549000,5.0,40+ terjual,HP Official,Jakarta Utara
27,"Laptop ACER Aspire 3 Slim A315 Core I7 1255 16GB 512GB SSD 15.6"" FHD",8799000,Tidak Ada Rating,1 terjual,ROGS STORE,Jakarta Utara
28,"Lenovo Ideapad Slim 3 Core i5 12450H 8GB 512SSD Win 11 OHS 14"" FHD IPS",8349000,4.9,500+ terjual,Thinkpad Official Store,Jakarta Utara
29,HUAWEI MateBook D 14 up to i5-13420H 16+512GB SSD | Sleek Metal Body,7599000,4.9,500+ terjual,Huawei Indonesia,Tangerang
30,HUAWEI MateBook D14 Core i5 | Sleek Full Metal Body | Win11 Laptop,7599000,4.9,70+ terjual,Huawei Authorized Store,Jakarta Utara
31,Laptop Asus Vivobook GO 14 E1404FA RYZEN 5 7520U Ram 16GB 512GB,7599000,5.0,500+ terjual,AGRES ID,Jakarta Utara
32,Laptop Lenovo ThinkPad X1 Yoga 6th vPRO Core i5 Gen 11 - RAM 8GB - SSD 1TB - 14 inch - Full HD - Include Pen Stylus - TouchScreen,7499000,5.0,11 terjual,JUALANDOK Computer,Jakarta Pusat
33,LAPTOP AXIOO HYPE 5 AMD X6 | Ryzen 5 6600H 16GB 512GB Windows 11,7449000,5.0,100+ terjual,Axioo Official Store ID,Jakarta Utara
34,"LENOVO FLEX 5 2in1 i3-1215U 8GB SSD 512GB 14"" FHD IPS TOUCHSCREEN W11",7249000,4.9,80+ terjual,aura technology,Jakarta Pusat
35,"Lenovo V14 G4 Ryzen 5 7530U 8GB / 16GB 512GB W11+OHS 14"" FHD",7249000,4.9,100+ terjual,AMD Official Store,Jakarta Utara
36,"LAPTOP LENOVO V15 - I5 1235U 8GB SSD 256GB/512GB SSD/1TB SSD 15.6"" FHD",7199000,5.0,50+ terjual,HOSANA COMPUTER,Jakarta Pusat
37,"ASUS Vivobook Go 15 OLED E1504FA Ryzen 3 7320U 8GB 610M 15""FHD W11 OHS",7199000,5.0,500+ terjual,AMD Official Store,Jakarta Utara
38,ASUS Vivobook 14 i7-1355u/i5-1235u/i3-1315u 8GB/16GB 512SSD W11+OHS 14.0 FHD IPS/A1404VA/A1404ZA,6649000,4.9,250+ terjual,Deca Computer,Jakarta Utara
39,"ADVAN 360 Stylus Pro Intel Core i3-1215U 8GB/256GB 14"" IPS FHD Touchscreen Laptop 2 in 1 Notebook Free Windows 11 + Stylus Pen",6499000,Tidak Ada Rating,100+ terjual,Advan Official Store,Kab. Tangerang
40,ASUS Vivobook Go 14 E1404FA-FHD351 - Mixed Black [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS],6399000,5.0,250+ terjual,Asus Official Store,Jakarta Timur
41,Asus Vivobook Go 14 E1404FA FHD [AMD Ryzen 3 7320U/8GB/512GB SSD/W11],6250000,5.0,40+ terjual,INTIKOM STORE,Medan
